node_id,ref_num,nodecaption,nodeshape,dash,nodecolor,container,degree,out_edge,in_edge,start_point,end_point
1,001,"Lysosomes digest Junk, until they become filled with LF",3,1,5,5,6,2,4,FALSE,FALSE
2,002,ROS oxidize proteins & lipids,1,1,8,5,3,1,2,FALSE,FALSE
3,003,"Free Fe, released by digestion, or trapped in LF, reacts with H2O2 to make HO*",1,1,8,5,6,3,3,FALSE,FALSE
4,004,"LF - filled Lysosoms have reduced capacity & reduced rate of digesting Junk. They demand more lytic enzymes from Golgi, so less enzymes go to functional Lysosomes. Apgy becomes inhibited when Lysms cannot accept more junk.",1,1,5,5,4,3,1,FALSE,FALSE
5,005,Lamp2a imports tagged soluble cytoplasmic proteins to digest.,3,0,5,1,3,1,2,FALSE,FALSE
6,006,"Oxidized lipids, proteins, & Fe crosslink to form Lipofuscin",1,1,8,5,5,1,4,FALSE,FALSE
7,007,LF - filled Lysosomes with damaged membranes spill lytic enzymes & reactive LF into cytoplasm,1,1,8,1,4,2,2,FALSE,FALSE
8,008,Lipofuscin accumulates in Lysosomes of Post-Mitotic cells,2,0,8,5,7,4,3,FALSE,FALSE
9,009,ROS in Lysosomes cause damage to Lysosomal membranes or membrane scaffolding which controls vesicle fusions,1,1,8,1,3,1,2,FALSE,FALSE
10,010,H2O2 diffuses into Lysm,1,0,8,1,2,1,1,FALSE,FALSE
11,011,"Autophagosome detect damaged Lysosomes, engulf them, transport to new Lysosome for digestion.",3,1,5,6,2,1,1,FALSE,FALSE
12,012,"Autophagosomes engulf junk, old mitos, organelles, proteasomes, ribosomes, damaged membranes & nuclear scaffolding. Transport to Lysosome for digestion.",3,1,5,6,8,5,3,FALSE,FALSE
13,013,"Spermidine is anti-ox, anti-inflamm, enhances autophagy, improves anti-cancer immunity, & decreases histone H3 acetylation",3,0,2,4,4,3,1,FALSE,FALSE
14,014,Lipofuscin in cytoplasm can trigger Apoptosis,1,1,8,4,2,1,1,FALSE,FALSE
15,015,H2O2 in cytoplasm,2,0,8,4,5,2,3,FALSE,FALSE
16,016,CD38 degrades NAD+,2,1,2,1,3,1,2,FALSE,FALSE
17,017,REST protein levels in neurons.,3,0,6,4,1,1,0,TRUE,FALSE
18,018,Sprouty-1 needed for satellite prolif,3,0,6,4,2,1,1,FALSE,FALSE
19,419,Mitochondrial Antioxidants quench some ROS,1,1,6,7,3,1,2,FALSE,FALSE
20,420,Damaged mitos produce less ATP & more ROS; have lower memb pot. Most are autophagized to Lysosome.,1,0,3,7,10,5,5,FALSE,FALSE
21,421,"mt ROS attack IMM, cardiolipin, mt proteins, & mtDNA",1,1,8,7,4,3,1,FALSE,FALSE
22,422,Damaged mtDNA or replication machinery,1,0,3,7,3,1,2,FALSE,FALSE
23,423,"mtDNA replication mistakes generate insertions, deletions",1,1,3,7,1,1,0,TRUE,FALSE
24,424,O2* - converted to H2O2 by SOD,1,1,8,7,3,1,2,FALSE,FALSE
25,425,Lon Protease digests damaged mt proteins,1,1,5,7,3,2,1,FALSE,FALSE
26,426,Lon Protease Levels decline with age,3,0,5,7,2,1,1,FALSE,FALSE
27,427,Fe-S Cluster assy depends on mt memb potential,3,0,3,7,3,1,2,FALSE,FALSE
28,428,mutant mtDNA,2,0,3,7,4,2,2,FALSE,FALSE
29,429,mt GPx degrades H2O2,1,1,6,7,1,1,0,TRUE,FALSE
30,430,Functionality of collective mt population,3,0,3,7,5,1,4,FALSE,FALSE
31,431,Rate of mito biogenesis,3,1,3,7,3,1,2,FALSE,FALSE
32,432,Clonal amplification of mutant mtDNA causes PM cell or skeletal muscle fiber segment to become anaerobic,2,0,3,7,4,2,2,FALSE,FALSE
33,063,Catalase & cytosolic GPx degrade H2O2.,3,0,6,4,2,1,1,FALSE,FALSE
34,064,Redox Potential poise in cytoplasm increased by oxidation. This changes intracellular signaling & gene expression,1,1,7,4,6,4,2,FALSE,FALSE
35,065,Damaged Junk to be repaired or disassembled,1,0,8,4,9,4,5,FALSE,FALSE
36,066,"Glycation: sugars, AGEs, & ALEs bond to intracellular proteins",1,1,2,4,1,1,0,TRUE,FALSE
37,067,Damaged proteasome subunits turn- over by CMA,1,1,5,4,3,2,1,FALSE,FALSE
38,068,Junk molecules aggregate & crosslink if not quickly disassembled,1,0,8,4,2,1,1,FALSE,FALSE
39,069,"Hyperphosphorylated Tau forms PHF, which bind Cu, produce H2O2",1,1,2,4,3,2,1,FALSE,FALSE
40,070,Proteasomes digest damaged cytoplasmic proteins,3,0,5,4,6,2,4,FALSE,FALSE
41,071,Cytoplasmic ROS attack intracellular & membrane proteins & lipids. Enzymes & proteasomes get inactivated,1,1,8,4,21,11,10,FALSE,FALSE
42,072,"Tau hyper- phosphorylation destabilizes microtubules, blocks axon transport.",1,1,2,4,4,3,1,FALSE,FALSE
43,073,"Reactive Aggregates, giant mitochondria, & LF-filled Lysosomes accumulate in cytoplasm, generate ROS, & impair cell functioning",2,0,8,4,9,4,5,FALSE,FALSE
44,074,Aggs block & inhibit Proteasomes,1,1,8,4,2,1,1,FALSE,FALSE
45,075,Oxidized pigment enzymes in hair follicles turn hair white,2,0,8,4,2,1,1,FALSE,FALSE
46,076,"Oxidized membrane lipids & proteins degrade transporters of Ca2+, Na+, Glu, & glucose; promote depolarization & Ca2+ influx",2,0,2,1,2,1,1,FALSE,FALSE
47,077,"Reductive Hotspot: Anaerobic cells & muscle fiber segments export electrons through plasma membrane, generating extracellular ROS",1,1,8,1,2,1,1,FALSE,FALSE
48,078,"Peroxidized Lipids & oxidized cholesterol in LDL are imported by other cells, & incorporated into membranes, damaging membranes & mitosis via lipid chain-reactions",1,0,4,1,8,5,3,FALSE,FALSE
49,079,"Normal A-beta in membrane reacts with Cu, producing H2O2 & ROS",1,0,2,1,3,2,1,FALSE,FALSE
50,080,Cytoplasmic antioxidants quench ROS,1,0,6,4,4,2,2,FALSE,FALSE
51,081,Endogenous Antioxidant Production,1,1,6,4,4,3,1,FALSE,FALSE
52,082,RAGE & Scavenger Receptors,2,0,7,1,7,4,3,FALSE,FALSE
53,083,Intracellular Ca2+ levels rise & generate ROS,2,0,2,4,4,2,2,FALSE,FALSE
54,084,Intraneuronal Fe generates ROS,2,0,8,4,3,2,1,FALSE,FALSE
55,085,Fe exported from neuron to EC transferrin,1,1,9,1,4,2,2,FALSE,FALSE
56,086,Low Zn makes neurons sick,1,1,9,4,3,2,1,FALSE,FALSE
57,087,Excitotoxicity kills neurons,1,1,9,4,3,1,2,FALSE,FALSE
58,088,Zn supply in neurons,3,0,6,4,5,3,2,FALSE,FALSE
59,089,Notch receptor,1,0,7,1,2,1,1,FALSE,FALSE
60,090,MAPK pERK signaling,3,0,7,4,2,1,1,FALSE,FALSE
61,091,Delta Ligand,3,0,7,1,2,1,1,FALSE,FALSE
62,092,cAMP level in cytoplasm of PFC neurons,2,0,7,4,2,1,1,FALSE,FALSE
63,093,"cAMP opens K+ channels, stops PFCNs from firing",1,1,8,1,2,1,1,FALSE,FALSE
64,095,ZnT3 pumps Zn & Cu into neurons,3,1,6,1,3,1,2,FALSE,FALSE
65,098,Misfolded proteins accumulate,2,0,1,9,3,1,2,FALSE,FALSE
66,096,alpha-2A receptors in PFCN membranes,3,0,7,1,1,1,0,TRUE,FALSE
67,097,Oxidized membrane lipids & proteins release excess Ca2+,2,0,1,1,3,2,1,FALSE,FALSE
68,127,Apop of articlular chondrocytes,3,0,9,2,3,1,2,FALSE,FALSE
69,128,Trans-differentiation: Altered gene expression patterns change some cells to inappropriate phenotypes,1,1,9,2,4,2,2,FALSE,FALSE
70,129,Fibroblast production of elastin,3,0,9,2,6,2,4,FALSE,FALSE
71,130,Immune System & Apoptosis kill some cancer cells,1,1,9,2,5,1,4,FALSE,FALSE
72,131,"Arrested Cell Division: Short telomeres, altered nDNA, or damaged Lamins cause some cells to stop dividing",1,1,9,2,12,4,8,FALSE,FALSE
73,132,"Arrested Senescent cells secrete hormones, inflammatory cytokines, & toxins, which harm other cells",1,1,7,2,8,6,2,FALSE,FALSE
74,133,Inflammatory cytokines (IL-6) induce expression of endothelial adhesion molecules,1,1,7,2,3,2,1,FALSE,FALSE
75,134,Arrested Stem cells stop dividing,3,0,9,2,7,5,2,FALSE,FALSE
76,135,Cell-to-cell Signaling pathways,1,1,7,2,3,1,2,FALSE,FALSE
77,136,"IL-6 causes neuronal precursors to become glial cells, not neurons",1,1,7,2,4,3,1,FALSE,FALSE
78,137,Anergic T-cell clones accumulate & suppress naive T-cells,2,0,9,2,4,2,2,FALSE,FALSE
79,138,Lung basal cells,3,0,9,2,2,1,1,FALSE,FALSE
80,139,Stem cells replace some lost cells,1,1,6,2,6,4,2,FALSE,FALSE
81,140,MSCs & functional fibroblasts,3,0,9,2,11,6,5,FALSE,FALSE
82,141,"Naive T-cell population shrinks, reducing ability to respond to infectious microbes",3,0,9,2,4,2,2,FALSE,FALSE
83,142,Thymus size (involution),3,0,9,2,4,2,2,FALSE,FALSE
84,143,Satellite cell proliferation regenerates skeletal muscle,3,0,9,2,8,1,7,FALSE,FALSE
85,144,Cardiac myocytes,3,0,9,2,2,1,1,FALSE,FALSE
86,145,Skeletal muscle fibers,3,0,9,2,4,1,3,FALSE,FALSE
87,146,Osteoblasts,3,0,9,2,3,1,2,FALSE,FALSE
88,147,Motor neurons,3,0,9,2,5,1,4,FALSE,FALSE
89,148,Cell Death: Apoptosis & necrosis kill important cells in slowly renewing tissues,1,1,9,2,21,12,9,FALSE,FALSE
90,149,Sick Cells: Accumulated cytoplasmic damage causes some cells to function poorly or self-destruct,1,0,9,2,9,4,5,FALSE,FALSE
91,150,AGE signaling changes MSC Differentiation,1,1,9,2,4,3,1,FALSE,FALSE
92,151,Healthy endocrine cells,3,0,9,2,3,2,1,FALSE,FALSE
93,152,neocortex neurons & synapses,3,0,9,2,8,1,7,FALSE,FALSE
94,153,Commanding neuroendocrine cells in hypothalamus,3,0,9,2,4,1,3,FALSE,FALSE
95,154,neurons in SN,3,0,9,2,4,1,3,FALSE,FALSE
96,155,Fibroblasts & MSCs repair ECM,3,1,5,2,5,2,3,FALSE,FALSE
97,156,"Neurotoxins destroy neurites, synapses, & neurons",1,1,8,2,4,3,1,FALSE,FALSE
98,157,Neurogenesis by Adult Neural Stem Cells,3,0,6,2,10,5,5,FALSE,FALSE
99,158,NGF & BDNF preserve neurons & improve synapses,3,0,7,2,7,5,2,FALSE,FALSE
100,159,Macrophages bind to AGE-collagen,1,1,9,2,5,3,2,FALSE,FALSE
101,160,"Macrophages ingest peroxidized Lipids, LDL, & RBCs to become Foam Cells",1,0,8,2,5,1,4,FALSE,FALSE
102,161,Cell detachment promotes metastasis,1,1,8,2,2,1,1,FALSE,FALSE
103,162,Endothelium extravasates small clots & debris in capillaries,3,1,6,2,2,1,1,FALSE,FALSE
104,163,GnRH secretion from Hypothalamus,3,1,9,1,3,1,2,FALSE,FALSE
105,164,NF-kB signaling by hypothalamic neurons,1,1,7,2,4,1,3,FALSE,FALSE
106,165,TNFa secretion by microglia,1,1,7,2,2,1,1,FALSE,FALSE
107,166,NF-kB activity in microglia,2,1,7,2,5,3,2,FALSE,FALSE
108,167,Hypothalamic cells,3,0,9,2,2,1,1,FALSE,FALSE
109,201,Level of IL-15 & IL-15Ra in serum,3,0,7,3,2,1,1,FALSE,FALSE
110,202,Glucose Concentration in Bloodstream. (Moderate in healthy people; higher in Diabetes),1,0,4,3,3,1,2,FALSE,FALSE
111,203,Glycation: sugars bond to extracellular proteins,1,1,8,3,3,1,2,FALSE,FALSE
112,204,Glycated extracellular proteins form AGEs and crosslinks,1,1,8,3,8,6,2,FALSE,FALSE
113,205,"Igs crosslink to kidney glomerular Basement Membrane, causing complement-mediated damage",1,1,4,3,2,1,1,FALSE,FALSE
114,206,Glycated Arginine can convert to Ornithine,1,1,8,3,2,1,1,FALSE,FALSE
115,207,Altered Arg & Asp residues disrupt RGD cell attachment,1,1,8,3,6,2,4,FALSE,FALSE
116,208,"ECM protein residues can deamidate or isomerize, which might change folding",1,1,8,3,2,2,0,TRUE,FALSE
117,209,Extracellular ROS,1,0,8,3,7,3,4,FALSE,FALSE
118,210,ROS & sugars peroxidize lipids & glycate proteins in circulating LDL,1,1,8,3,4,2,2,FALSE,FALSE
119,211,"A-beta oxidizes cholesterol & fatty acids, generates H2O2 & OH* radicals",1,1,8,3,5,3,2,FALSE,FALSE
120,212,Antioxidants in EC fluids quench ROS,1,1,6,3,5,3,2,FALSE,FALSE
121,213,"A-beta monomers aggregate with Zn, Cu, to form toxic A-beta oligos & plaques",2,0,4,3,9,3,6,FALSE,FALSE
122,214,"metal ionophores disaggregate toxic A-beta oligos. take Cu, Zn and release A-beta monomer.",1,1,5,3,2,1,1,FALSE,FALSE
123,215,"Cu, Zn & A-beta monomer released into glutamatergic synapses during neurotransmission",1,0,4,3,9,6,3,FALSE,FALSE
124,216,EC Zn,1,0,4,3,2,1,1,FALSE,FALSE
125,217,"Metal Ionophores take Cu, Zn into neuron",1,1,6,3,3,1,2,FALSE,FALSE
126,218,A-beta monomer slowly cleared by glymphatic transport to lymph & urine,1,1,5,3,5,1,4,FALSE,FALSE
127,219,MMP2 & 3 slowly digest A-beta monomer,1,1,5,3,2,1,1,FALSE,FALSE
128,220,Zn/Cu activate MMP2&3,1,1,9,3,2,1,1,FALSE,FALSE
129,221,Glycated LDL and RBCs crosslink to endothelial arterial collagen,1,0,9,3,2,1,1,FALSE,FALSE
130,222,Ca ++ & Lipids bound to elastin,2,0,4,3,1,1,0,TRUE,FALSE
131,223,Oxidation & cleavage of ECM proteins,1,1,8,3,7,2,5,FALSE,FALSE
132,224,"Damaged, crosslinked, glycated, oxidized ECM proteins accumulate & change EC environment",2,0,4,3,21,14,7,FALSE,FALSE
133,225,Elastic fibers,3,0,4,3,5,3,2,FALSE,FALSE
134,226,TTR-amyloid in muscle & elsewhere,2,0,4,3,3,2,1,FALSE,FALSE
