node_id,ref_num,nodecaption,nodeshape,dash,nodecolor,container,degree,out_edge,in_edge,start_point,end_point
135,227,Cerebral amyloid angiopathy decreases endothelial health,2,0,4,3,3,2,1,FALSE,FALSE
136,228,Good Hormone Levels,3,0,7,3,6,2,4,FALSE,FALSE
137,229,"Beta-2-microglobulin, & Chemokines, incl CCL11, in plasma & CSF",2,0,8,3,3,1,2,FALSE,FALSE
138,230,"EGF, FGF",3,0,4,3,1,1,0,TRUE,FALSE
139,231,"TGF-beta levels in satellite cell niche, B marrow, & blood",2,0,8,3,2,1,1,FALSE,FALSE
140,232,MMPs secreted by arrested cells,1,0,4,3,2,1,1,FALSE,FALSE
141,234,Hypochlorous acid secreted by inflam macrophages,1,0,8,3,2,1,1,FALSE,FALSE
142,235,Articlular cartilage deteriorates,3,0,4,3,3,1,2,FALSE,FALSE
143,236,GnRH in Hypothalamus maintains youth,3,0,7,3,5,3,2,FALSE,FALSE
144,238,"Interstitial spaces in brain increase during sleep. Gamma brainwave entrainment activates microglia, enhancing clearance of A-beta",1,1,5,3,5,2,3,FALSE,FALSE
145,332,GnRH gene expn in hypothalamus,3,1,1,8,2,1,1,FALSE,FALSE
146,333,Epigenetic Methylation of DNA,3,0,1,8,2,2,0,TRUE,FALSE
147,334,Acetylation of Histones,1,1,1,8,4,1,3,FALSE,FALSE
148,335,PGC-1-alpha PGC-1-beta,3,0,1,8,2,1,1,FALSE,FALSE
149,336,Lon Protease mRNA,3,0,1,8,3,1,2,FALSE,FALSE
150,337,Chromatin conformation is altered,2,0,1,8,8,2,6,FALSE,FALSE
151,338,"Telomeres oxidized, damaged, or made too short",1,1,1,8,9,6,3,FALSE,FALSE
152,339,p53 rises,2,0,1,8,4,2,2,FALSE,FALSE
153,340,DNA repair PARP-1 activated,3,1,1,8,5,3,2,FALSE,FALSE
154,341,Nuclear 20S proteasome removes damaged proteins,1,0,5,8,3,2,1,FALSE,FALSE
155,342,Genome integrity proteins contain Fe-S Clusters.,3,0,6,8,2,1,1,FALSE,FALSE
156,343,Position Effect of genes near short Telomeres alters expression,1,1,1,8,2,1,1,FALSE,FALSE
157,344,Developmental Differentiation reduces Telomerase expression,1,1,1,8,2,1,1,FALSE,FALSE
158,345,Short Tmeres => end-joining chromosomes => nondysjunction,1,1,1,8,2,1,1,FALSE,FALSE
159,346,"nDNA adducts, breakage, damage,& mutation",2,0,8,8,11,5,6,FALSE,FALSE
160,347,Genome integrity proteins & DNA Repair Enzymes (damaged by ROS),3,0,6,8,6,1,5,FALSE,FALSE
161,048,Levels of miRNA in brain change,2,0,1,4,2,1,1,FALSE,FALSE
162,349,ROS in nucleus,1,0,8,8,8,6,2,FALSE,FALSE
163,350,Gene expression is altered,2,1,1,8,17,11,6,FALSE,FALSE
164,351,HMGB2 mRNA,3,0,1,8,2,1,1,FALSE,FALSE
165,352,HMGB2 protein,3,0,1,8,2,1,1,FALSE,FALSE
166,353,Glycation: sugars bond to nDNA & proteins,1,1,8,8,3,2,1,FALSE,FALSE
167,354,Cytoplasmic tubulin accumulates in nucleus & damages chromatin,2,0,1,8,3,2,1,FALSE,FALSE
168,355,Oxidized nuclear pore proteins allow other proteins in & out,2,0,1,1,5,2,3,FALSE,FALSE
169,356,Signals to nucleus,1,1,7,1,5,1,4,FALSE,FALSE
170,357,Nrf2 activates antiox genes,3,0,1,8,3,1,2,FALSE,FALSE
171,358,ZnT3 mRNA,3,0,1,8,2,1,1,FALSE,FALSE
172,359,Spliceosome errors mis-splice Lamin-A and cytoskeleton mRNAs,1,1,1,8,3,1,2,FALSE,FALSE
173,360,Progerin splice-variant of Lamin A accumulates,2,0,1,8,5,3,2,FALSE,FALSE
174,361,Damaged nuclear proteins accumulate,2,0,1,8,7,1,6,FALSE,FALSE
175,362,Loss of nuclear proteins,3,0,1,8,2,1,1,FALSE,FALSE
176,701,Enhance Mitochondrial Fission,5,1,6,1,1,1,0,TRUE,FALSE
177,702,Lysosomal Enzyme Augmentation Therapy,5,0,5,1,3,3,0,TRUE,FALSE
178,703,LF-formation Inhibitor Drugs,5,0,5,1,1,1,0,TRUE,FALSE
179,704,LF-Removing Drugs,5,0,5,1,2,2,0,TRUE,FALSE
180,705,Oral Spermidine or Agmatine,5,0,6,1,1,1,0,TRUE,FALSE
181,706,Sirtuin Activators,5,0,6,1,1,1,0,TRUE,FALSE
182,707,Epigenetic Reprograming (Yamanaka factors) Chromatin remodeling drugs.eg. HdAcs & HdAc inhibitors,5,1,1,1,1,1,0,TRUE,FALSE
183,708,Telomerase & TERT Therapy & Activators,5,1,6,1,2,2,0,TRUE,FALSE
184,709,X-Rays & ionizing radiation create ROS,4,1,8,1,2,2,0,TRUE,FALSE
185,710,"Reprogramming, Genetic Engineering, Gene Editing: Increase expn of beneficial genes: eg TFAM, Lamp2a, hTERT, Lon Protease, Proteasome. Make super-fibroblasts. Re-differentiate certain cells for improved performance.",5,1,1,1,2,2,0,TRUE,FALSE
186,711,R-alpha-Lipoic Acid reverses Nrf2 loss,5,0,6,1,1,1,0,TRUE,FALSE
187,712,Splice Enhancement Therapy,5,1,1,1,1,1,0,TRUE,FALSE
188,713,Selective T-Cell Deletion Therapy,5,1,6,1,1,1,0,TRUE,FALSE
189,714,Stem Cell Therapy or Trophic Factors,5,1,6,1,4,4,0,TRUE,FALSE
190,715,Glucose- Lowering Drugs,5,0,6,1,1,1,0,TRUE,FALSE
191,716,Glycation -Inhibitor Drugs,5,0,6,1,1,1,0,TRUE,FALSE
192,717,Enhance Detection & Turnover of mutant mtDNA,5,0,6,1,1,1,0,TRUE,FALSE
193,718,"Smoke, etc. creates ROS",4,0,8,1,1,1,0,TRUE,FALSE
194,719,Dietary or injected Antioxidants,5,0,6,1,4,4,0,TRUE,FALSE
195,720,"Fasting, CR, or Exercise reduce LDL levels",5,0,6,1,3,1,2,FALSE,FALSE
196,721,"PBT2, BBB-permeant metal ionophores",5,0,6,1,2,2,0,TRUE,FALSE
197,722,TTR solublizing Drugs,5,0,5,1,1,1,0,TRUE,FALSE
198,723,Crosslink- Breaker Drugs,5,0,5,1,1,1,0,TRUE,FALSE
199,724,Stimulate or engineer super-Fibroblasts & MSCs to repair ECM,5,0,6,1,2,2,0,TRUE,FALSE
200,725,"Toxic Heavy Metals, Pb, Hg, Pesticides",4,0,8,1,1,1,0,TRUE,FALSE
201,726,Exercise or Hormone Therapy,5,1,7,1,10,10,0,TRUE,FALSE
202,727,Fasting or CR or Drugs that mimic fasting,4,1,7,1,8,8,0,TRUE,FALSE
203,728,Meditation,5,1,7,1,1,1,0,TRUE,FALSE
204,729,"Pathogenic Infectious Agents, viruses, bacteria, microbes",4,0,8,1,1,1,0,TRUE,FALSE
205,730,"Anti-Inflammatory Foods & Drugs including turmeric, Montelukast",5,0,6,1,1,1,0,TRUE,FALSE
206,731,Chronic Psychological stress,4,0,7,1,2,2,0,TRUE,FALSE
207,732,GnRH Injection,5,0,6,1,1,1,0,TRUE,FALSE
208,733,Block NF-kB production,5,1,6,1,2,2,0,TRUE,FALSE
209,735,Senolytic Drugs kill arrested cells to prevent spread of damage,5,1,6,1,1,1,0,TRUE,FALSE
210,901,Cancer,6,0,8,1,6,0,6,FALSE,TRUE
211,903,Osteo- Arthritis,6,0,9,1,1,0,1,FALSE,TRUE
212,904,"Persistent, asymptomatic Infections, eg. CMV, occupy immune system",1,1,8,1,2,2,0,TRUE,FALSE
213,905,Thin Skin; Thin Hair; White Hair.,6,0,9,1,5,0,5,FALSE,TRUE
214,906,Macular Degeneration,6,0,9,1,3,1,2,FALSE,FALSE
215,907,Blindness,6,0,9,1,2,0,2,FALSE,TRUE
216,908,Retinopathy,6,0,9,1,2,1,1,FALSE,FALSE
217,909,"Stiff arteries & capillaries, systolic hypertension, cardiovascular disease",6,0,9,1,8,5,3,FALSE,FALSE
218,910,Ischemic Stroke,6,0,9,1,3,0,3,FALSE,TRUE
219,911,Atherosclerotic plaque buildup,2,0,9,1,8,3,5,FALSE,FALSE
220,912,Heart Failure,6,0,9,1,5,0,5,FALSE,TRUE
221,913,Heart Attack,6,0,9,1,1,0,1,FALSE,TRUE
222,914,Hemorrhagic Stroke,6,0,9,1,2,0,2,FALSE,TRUE
223,915,"Inflammation, tissue remodeling, Inflammatory proteins secreted by Liver: C-RP, IL-6",2,0,8,1,14,6,8,FALSE,FALSE
224,916,Small clots in neural capillaries cause micro-strokes,1,1,9,1,2,1,1,FALSE,FALSE
225,917,Impaired kidney function,6,0,9,1,3,0,3,FALSE,TRUE
226,918,Reduced capacity of urinary Bladder,6,0,9,1,1,0,1,FALSE,TRUE
227,919,Erectile Dysfunction,6,0,9,1,1,0,1,FALSE,TRUE
228,920,Cataracts,6,0,9,1,2,0,2,FALSE,TRUE
229,921,"Stiff skin, tendons",6,0,9,1,3,0,3,FALSE,TRUE
230,922,Lung Alveoli degraded,6,0,9,1,2,1,1,FALSE,FALSE
231,923,Working memory & executive function,3,0,9,1,6,0,6,FALSE,TRUE
232,924,Alzheimer?s & other dementias,6,0,9,1,6,1,5,FALSE,FALSE
233,925,Parkinson's Disease,6,0,9,1,1,0,1,FALSE,TRUE
234,926,Osteoporosis,6,0,9,1,5,1,4,FALSE,FALSE
235,927,"Weakness, Frailty",6,0,9,1,2,0,2,FALSE,TRUE
236,928,Sarcopenia,6,0,9,1,5,1,4,FALSE,FALSE
237,929,Neuroendocrine & immune functions,3,1,7,1,24,9,15,FALSE,FALSE
238,930,Pathogenic Infections kill cells & generate inflammation,1,1,8,1,5,2,3,FALSE,FALSE
239,931,Menopause,6,0,9,1,2,0,2,FALSE,TRUE
240,932,Impaired wound healing & tissue repair,6,0,9,1,3,0,3,FALSE,TRUE
241,933,"Pulmonary Emphysema, COPD",6,0,9,1,3,0,3,FALSE,TRUE
242,934,Rheumatoid Arthritis,6,0,9,1,3,0,3,FALSE,TRUE
243,935,Inflammation of Hypothalamus & skin,1,1,8,1,3,1,2,FALSE,FALSE
244,936,"GnRH improves Cognition, muscle strength, skin, bone, neurogenesis, memory",6,0,6,1,2,1,1,FALSE,FALSE
245,999,Many other downstream effects of AGING,6,0,9,1,4,0,4,FALSE,TRUE
246,800,Macroautophagy,7,0,5,6,2,1,1,FALSE,FALSE
247,168,Brain Hyperactivity,2,0,8,2,2,1,1,FALSE,FALSE
248,239,"FGF2 & VEGF secreted by astrocytes, microglia, NSCs, & NPCs.",3,0,7,3,2,1,1,FALSE,FALSE
249,240,Osteocalcin in blood,3,0,7,3,2,2,0,TRUE,FALSE
250,241,Wnt signaling proteins in serum,2,0,7,3,2,1,1,FALSE,FALSE
251,242,Racemization of L- to D-Asp with aging of long-lived protein cause A-beta & alpha-synuclein fibrils,1,1,4,3,3,2,1,FALSE,FALSE
252,243,Transferrin carries Iron in blood plasma,1,0,4,3,1,0,1,FALSE,TRUE
253,244,Bone deposition in cribiform plate restricts clearance of CSF & A-beta,2,0,4,3,2,1,1,FALSE,FALSE
254,301,ZMPSTE24 converts pre-Lamin-A to Lamin-A,3,0,1,8,1,1,0,TRUE,FALSE
255,302,pre-Lamin-A accumulates,2,0,1,8,2,1,1,FALSE,FALSE
256,363,Telomerase maintains Telomere Length,3,0,1,8,3,1,2,FALSE,FALSE
257,364,Long Telomeres required for Stem Cell function,3,0,1,8,2,0,2,FALSE,TRUE
258,365,Progerin shortens Telomeres,1,1,1,8,2,1,1,FALSE,FALSE
259,366,Short telomeres cause splicing errors,1,1,1,8,2,1,1,FALSE,FALSE
260,367,Methylation of Histones,1,1,1,8,1,1,0,TRUE,FALSE
261,368,Activated NF-kB activates CD38,1,1,1,8,1,1,0,TRUE,FALSE
262,369,NAD+ needed for PARP & sirtuin activity,3,0,1,8,4,2,2,FALSE,FALSE
263,370,"Retro-Transposable Elements (LINE-1) insert, mutate, break DNA",2,0,1,8,2,1,1,FALSE,FALSE
264,371,Reverse Transcriptases mobilize RTEs,1,0,8,8,3,1,2,FALSE,FALSE
265,372,"Sirtuins deacetylate histones, & enhance DNA repair",1,1,9,8,4,2,2,FALSE,FALSE
266,373,Sprouty-1 expressionn reduced by DNA methylation,3,0,1,8,2,1,1,FALSE,FALSE
267,404,"Cardiolipin bends IMM, enhancing ETC function",3,0,3,7,3,1,2,FALSE,FALSE
268,416,H2O2 diffuses out of mitochondria,1,0,8,1,3,2,1,FALSE,FALSE
269,417,"Giant mitochondria accumulate when damage impairs mitochondria fission. They can?t be autophagized, & they produce more ROS.",2,0,3,7,6,4,2,FALSE,FALSE
270,418,ROS generated by mitochondrial metabolism,1,0,8,7,6,2,4,FALSE,FALSE
285,734,Sleep,5,0,6,1,1,1,0,TRUE,FALSE
286,736,Infuse Young plasma or remove old plasma,5,0,6,1,3,3,0,TRUE,FALSE
287,737,Nanoscavenger therapy cleans plasma,5,0,6,1,2,2,0,TRUE,FALSE
288,738,Engineer cells to make anti-cancer immune cells,5,1,6,1,1,1,0,TRUE,FALSE
289,739,Induce Exocytosis of LF - filled Lysosomes,1,1,5,1,4,2,2,FALSE,FALSE
290,740,40 Hz flashingLight,5,0,6,1,1,1,0,TRUE,FALSE
291,741,Gamma sound vibration,5,0,6,1,1,1,0,TRUE,FALSE
292,742,"J147 increases ATP. J147 induces NGF & BDNF, activates AMPK, inhibits mTOR,protects neurons from toxicity of glutamate & A-beta",5,0,6,1,3,3,0,TRUE,FALSE
293,743,SM04554 stimulates hair growth in androgenic alopecia,5,0,6,1,1,1,0,TRUE,FALSE
294,744,MK-0677,5,0,6,1,1,1,0,TRUE,FALSE
295,745,Surgical shunt in cribiform plate,5,0,6,1,1,1,0,TRUE,FALSE
296,746,Lanosterol,5,0,6,1,1,1,0,TRUE,FALSE
297,747,Targeted Apoptotic Agents,5,1,6,1,1,1,0,TRUE,FALSE
298,748,Macrophages digest LF - filled Exosomes .,1,1,5,2,1,0,1,FALSE,TRUE
299,749,Chronic Periodontitis. Gingivitis bacteria increase production of A-beta,4,1,8,1,1,1,0,TRUE,FALSE
300,750,Elamipretide protects cardiolipin from ROS damage,5,0,6,1,1,1,0,TRUE,FALSE
301,751,CD38 inhibitors,5,0,6,1,1,1,0,TRUE,FALSE
302,752,"Niacin, NMN, or NR supplements increase NAD+",5,0,6,1,1,1,0,TRUE,FALSE
303,753,Reverse Transcriptase Inhibitors inhibit RTases,5,0,6,1,1,1,0,TRUE,FALSE
304,754,Prostagladin PGE2 injection IM stimulates skeletal muscle stem cells,5,0,6,1,1,1,0,TRUE,FALSE
305,937,"Cardiac Hypertrophy, Stiff Heart",6,0,9,1,2,1,1,FALSE,FALSE
306,938,Body Plan Dysregulation,6,0,9,1,5,2,3,FALSE,FALSE
307,939,Failure to Regenerate,6,0,9,1,1,0,1,FALSE,TRUE
308,940,Prostate Hyperplasia,6,0,9,1,1,0,1,FALSE,TRUE
309,941,VCAM-1 in plasma,2,0,9,1,1,1,0,TRUE,FALSE
310,033,"Vitamin C, Spermidine, Fasting enhance rate of autophagy.",1,1,5,6,5,2,3,FALSE,FALSE
311,034,"ROS activate NF-kB, which enters nucleus, activating genes",1,0,8,1,4,3,1,FALSE,FALSE
312,200,"Extracellular Spaces: ECM, Blood Plasma, ymph, CSF",7,0,4,0,0,0,0,FALSE,FALSE
